Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
assignment,assignment.cart,Cart,Cart,3,1,0,9,0,,
assignment,assignment.cart,Cart,addProduct,4,2,2,13,0,,
assignment,assignment.cart,Cart,removeProduct,3,1,1,21,0,,
assignment,assignment.cart,Cart,updateProductQuantity,4,3,2,25,0,assignment.cart.Cart,assignment.cart.Cart
assignment,assignment.cart,Cart,calculateTotal,9,2,0,34,0,,
assignment,assignment.cart,Cart,getProducts,3,1,0,44,0,,
assignment,assignment.cart,Cart,clearCart,3,1,0,48,0,,
assignment,assignment.cart,Cart,calc,4,2,2,52,0,assignment.cart.Cart,assignment.cart.Cart
assignment,assignment.cart,Cart,calcHigher,3,1,2,59,0,assignment.cart.Cart,assignment.cart.Cart
assignment,assignment.cart,Product,Product,7,1,5,13,0,,
assignment,assignment.cart,Product,getId,3,1,0,21,0,,
assignment,assignment.cart,Product,setId,3,1,1,25,0,,
assignment,assignment.cart,Product,getName,3,1,0,29,0,,
assignment,assignment.cart,Product,setName,3,1,1,33,0,,
assignment,assignment.cart,Product,getDescription,3,1,0,37,0,,
assignment,assignment.cart,Product,setDescription,2,1,1,41,0,,
assignment,assignment.cart,Product,getUnitPrice,3,1,0,44,0,,
assignment,assignment.cart,Product,setUnitPrice,2,1,1,48,0,,
assignment,assignment.cart,Product,getCategory,3,1,0,51,0,,
assignment,assignment.cart,Product,setCategory,2,1,1,55,0,,
assignment,assignment.cart,Product,getBrand,3,1,0,58,0,,
assignment,assignment.cart,Product,setBrand,2,1,1,62,0,,
assignment,assignment.cart,Product,getStockQuantity,3,1,0,65,0,,
assignment,assignment.cart,Product,setStockQuantity,2,1,1,69,0,,
assignment,assignment.cart,Product,IsAvailable,3,1,0,72,0,,
assignment,assignment.cart,Product,setIsAvailable,2,1,1,76,0,,
assignment,assignment.cart,Product,setFullDetailedProduct,10,1,8,79,0,,
assignment,assignment.user,User,User,9,1,7,22,0,,
assignment,assignment.user,User,getUserID,3,1,0,33,0,,
assignment,assignment.user,User,getUsername,3,1,0,37,0,,
assignment,assignment.user,User,getFirstname,3,1,0,41,0,,
assignment,assignment.user,User,getLastname,3,1,0,45,0,,
assignment,assignment.user,User,isAccountActive,3,1,0,49,0,,
assignment,assignment.user,User,setUsername,3,1,1,53,0,,
assignment,assignment.user,User,setAccountActive,3,1,1,57,0,,
assignment,assignment.user,User,updateUsername,3,1,1,61,0,,
assignment,assignment.user,User,getTitles,3,1,0,65,0,,
assignment,assignment.user,User,isActive,3,1,0,69,0,assignment.user.User,assignment.user.User
assignment,assignment.user,User,deactivateAccount,7,2,1,73,0,,
assignment,assignment.user,User,isEquals,3,1,1,81,0,,
assignment,assignment.user,User,printUserInfo,3,2,0,85,0,,
assignment,assignment.user,User,linkCart,4,2,1,90,0,,
assignment,assignment.user,User,getCart,3,1,0,96,0,,
assignment,assignment.user,User,printAllRoles,3,1,0,100,0,,
assignment,assignment.user,User,printEveryRole,5,2,0,104,0,,
assignment,assignment.user,UsersManager,findUserFromDB,9,1,1,19,0,,
assignment,assignment.user,UsersManager,addUser,3,2,1,31,0,assignment.user.UsersManager,assignment.user.UsersManager
assignment,assignment.user,UsersManager,removeEmptyTitlesFromUser,8,3,1,36,0,,
assignment,assignment.user,UsersManager,addCartToUser,3,1,2,45,0,,
